M,depth,swap,graph
18,8,13,"[(7, 17), (7, 3), (7, 4), (17, 9), (17, 11), (6, 15), (6, 4), (6, 11), (15, 10), (15, 5), (12, 16), (12, 0), (12, 2), (16, 2), (16, 8), (3, 1), (3, 5), (4, 0), (9, 14), (9, 13), (14, 11), (14, 8), (2, 5), (0, 8), (1, 13), (1, 10), (10, 13)]"
18,11,22,"[(7, 17), (7, 3), (7, 14), (17, 15), (17, 8), (3, 5), (3, 14), (4, 6), (4, 8), (4, 16), (6, 5), (6, 13), (5, 13), (13, 9), (8, 12), (12, 1), (12, 0), (0, 11), (0, 15), (11, 10), (11, 16), (1, 2), (1, 16), (15, 14), (9, 10), (9, 2), (10, 2)]"
18,8,12,"[(3, 4), (3, 16), (3, 17), (4, 12), (4, 15), (12, 8), (12, 17), (14, 16), (14, 0), (14, 5), (16, 6), (5, 13), (5, 8), (13, 11), (13, 2), (15, 8), (15, 10), (9, 11), (9, 7), (9, 6), (11, 1), (0, 1), (0, 7), (10, 7), (10, 17), (1, 2), (2, 6)]"
18,8,13,"[(4, 6), (4, 8), (4, 7), (6, 1), (6, 5), (14, 16), (14, 15), (14, 7), (16, 0), (16, 11), (5, 13), (5, 3), (13, 2), (13, 10), (1, 2), (1, 8), (9, 17), (9, 3), (9, 7), (17, 10), (17, 12), (3, 2), (8, 11), (12, 15), (12, 11), (15, 0), (0, 10)]"
20,10,13,"[(7, 17), (7, 9), (7, 15), (17, 4), (17, 19), (4, 6), (4, 0), (6, 8), (6, 2), (14, 16), (14, 18), (14, 3), (16, 10), (16, 1), (0, 2), (0, 12), (2, 3), (8, 9), (8, 11), (9, 5), (5, 19), (5, 11), (19, 11), (10, 12), (10, 13), (12, 1), (1, 18), (18, 13), (3, 15), (15, 13)]"
18,9,15,"[(3, 4), (3, 7), (3, 10), (4, 15), (4, 13), (7, 12), (7, 1), (10, 14), (10, 8), (15, 16), (15, 9), (9, 17), (9, 2), (17, 13), (17, 14), (0, 11), (0, 16), (0, 6), (11, 6), (11, 12), (2, 8), (2, 13), (8, 5), (6, 16), (5, 12), (5, 1), (14, 1)]"
20,9,16,"[(6, 15), (6, 14), (6, 16), (15, 12), (15, 13), (3, 7), (3, 0), (3, 2), (7, 12), (7, 1), (5, 13), (5, 8), (5, 17), (13, 11), (17, 18), (17, 2), (18, 19), (18, 0), (2, 4), (14, 8), (14, 1), (19, 9), (19, 10), (12, 9), (8, 11), (11, 1), (9, 16), (16, 4), (4, 10), (0, 10)]"
18,9,14,"[(6, 15), (6, 11), (6, 9), (15, 17), (15, 5), (12, 16), (12, 4), (12, 11), (16, 11), (16, 2), (3, 7), (3, 10), (3, 1), (7, 5), (7, 2), (4, 17), (4, 0), (10, 8), (10, 13), (5, 8), (0, 14), (0, 9), (14, 8), (14, 1), (1, 9), (13, 17), (13, 2)]"
20,9,16,"[(3, 10), (3, 9), (3, 6), (10, 12), (10, 14), (4, 15), (4, 11), (4, 2), (15, 19), (15, 7), (8, 18), (8, 5), (8, 7), (18, 14), (18, 16), (1, 6), (1, 17), (1, 16), (6, 0), (2, 5), (2, 9), (5, 17), (12, 17), (12, 0), (13, 14), (13, 11), (13, 19), (16, 19), (9, 0), (11, 7)]"
20,9,14,"[(12, 16), (12, 7), (12, 11), (16, 13), (16, 15), (4, 6), (4, 18), (4, 8), (6, 8), (6, 9), (3, 10), (3, 19), (3, 15), (10, 2), (10, 1), (19, 5), (19, 7), (18, 17), (18, 0), (5, 15), (5, 1), (17, 9), (17, 14), (9, 1), (0, 14), (0, 13), (14, 2), (2, 11), (11, 7), (8, 13)]"
20,9,14,"[(6, 15), (6, 4), (6, 8), (15, 9), (15, 13), (4, 2), (4, 16), (12, 19), (12, 10), (12, 11), (19, 14), (19, 7), (5, 7), (5, 9), (5, 3), (7, 2), (14, 10), (14, 3), (8, 18), (8, 13), (18, 17), (18, 0), (9, 11), (11, 3), (17, 10), (17, 1), (0, 1), (0, 16), (1, 16), (2, 13)]"
20,8,14,"[(6, 18), (6, 4), (6, 11), (18, 2), (18, 11), (4, 9), (4, 1), (9, 17), (9, 1), (12, 13), (12, 10), (12, 15), (13, 0), (13, 10), (14, 16), (14, 3), (14, 7), (16, 19), (16, 8), (5, 7), (5, 2), (5, 17), (7, 8), (0, 8), (0, 3), (2, 3), (17, 19), (1, 11), (10, 15), (15, 19)]"
22,10,14,"[(1, 21), (1, 11), (1, 7), (21, 3), (21, 19), (3, 15), (3, 14), (15, 9), (15, 13), (14, 17), (14, 10), (17, 5), (17, 18), (0, 20), (0, 13), (0, 6), (20, 9), (20, 6), (4, 18), (4, 10), (4, 16), (18, 16), (2, 5), (2, 9), (2, 11), (5, 8), (11, 12), (8, 16), (8, 7), (7, 10), (19, 13), (19, 12), (6, 12)]"
22,8,15,"[(15, 21), (15, 14), (15, 3), (21, 8), (21, 0), (12, 19), (12, 7), (12, 14), (19, 6), (19, 1), (5, 7), (5, 2), (5, 11), (7, 6), (3, 13), (3, 0), (13, 4), (13, 10), (9, 17), (9, 20), (9, 16), (17, 20), (17, 8), (2, 4), (2, 10), (8, 4), (20, 1), (1, 18), (18, 14), (18, 16), (6, 11), (11, 10), (16, 0)]"
20,8,15,"[(6, 12), (6, 8), (6, 19), (12, 13), (12, 18), (13, 17), (13, 7), (3, 10), (3, 1), (3, 2), (10, 5), (10, 16), (4, 15), (4, 8), (4, 0), (15, 8), (15, 14), (5, 0), (5, 1), (0, 2), (2, 9), (1, 11), (17, 14), (17, 16), (7, 18), (7, 11), (14, 18), (9, 16), (9, 19), (19, 11)]"
22,9,15,"[(6, 12), (6, 18), (6, 3), (12, 17), (12, 2), (18, 17), (18, 14), (3, 7), (3, 5), (7, 0), (7, 14), (4, 21), (4, 11), (4, 10), (21, 17), (21, 2), (0, 2), (0, 14), (5, 19), (5, 9), (19, 11), (19, 10), (9, 11), (9, 1), (1, 20), (1, 8), (15, 20), (15, 16), (15, 13), (20, 8), (8, 13), (13, 16), (16, 10)]"
22,9,15,"[(15, 21), (15, 14), (15, 2), (21, 10), (21, 12), (16, 20), (16, 13), (16, 10), (20, 17), (20, 12), (3, 7), (3, 6), (3, 18), (7, 6), (7, 4), (14, 19), (14, 9), (19, 9), (19, 13), (9, 5), (8, 18), (8, 2), (8, 1), (18, 1), (2, 5), (5, 12), (0, 11), (0, 17), (0, 4), (11, 6), (11, 10), (17, 4), (1, 13)]"
16,11,21,"[(3, 4), (3, 7), (3, 0), (4, 0), (4, 1), (7, 8), (7, 14), (2, 5), (2, 9), (2, 15), (5, 6), (5, 14), (1, 12), (1, 15), (12, 9), (12, 11), (15, 14), (6, 10), (6, 0), (10, 11), (10, 8), (11, 13), (9, 13), (13, 8)]"
22,12,17,"[(16, 20), (16, 11), (16, 21), (20, 1), (20, 14), (6, 15), (6, 17), (6, 7), (15, 17), (15, 9), (3, 7), (3, 10), (3, 5), (7, 0), (4, 12), (4, 11), (4, 0), (12, 19), (12, 17), (10, 18), (10, 1), (19, 9), (19, 13), (5, 13), (5, 21), (13, 21), (8, 18), (8, 0), (8, 14), (18, 14), (2, 11), (2, 1), (2, 9)]"
22,11,22,"[(6, 15), (6, 1), (6, 0), (15, 14), (15, 16), (18, 20), (18, 4), (18, 5), (20, 21), (20, 3), (12, 13), (12, 1), (12, 14), (13, 3), (13, 7), (3, 10), (10, 14), (10, 17), (0, 2), (0, 11), (2, 17), (2, 4), (4, 11), (1, 19), (8, 21), (8, 17), (8, 7), (21, 5), (11, 16), (16, 19), (19, 9), (7, 9), (5, 9)]"
22,12,18,"[(6, 18), (6, 19), (6, 9), (18, 5), (18, 11), (3, 4), (3, 10), (3, 1), (4, 11), (4, 10), (12, 13), (12, 8), (12, 7), (13, 17), (13, 7), (10, 0), (0, 2), (0, 5), (2, 20), (2, 21), (8, 9), (8, 15), (9, 11), (5, 20), (15, 17), (15, 14), (19, 21), (19, 20), (21, 16), (1, 14), (1, 16), (17, 16), (7, 14)]"
22,11,20,"[(12, 16), (12, 15), (12, 2), (16, 9), (16, 13), (3, 10), (3, 1), (3, 5), (10, 9), (10, 13), (8, 9), (8, 21), (8, 2), (0, 5), (0, 1), (0, 6), (5, 17), (1, 17), (21, 7), (21, 11), (2, 18), (6, 11), (6, 20), (11, 18), (20, 19), (20, 14), (15, 19), (15, 7), (14, 18), (14, 17), (19, 4), (13, 4), (7, 4)]"
20,10,24,"[(6, 12), (6, 15), (6, 19), (12, 17), (12, 0), (15, 1), (15, 0), (4, 9), (4, 2), (4, 0), (9, 8), (9, 7), (3, 16), (3, 5), (3, 2), (16, 7), (16, 11), (5, 13), (5, 17), (13, 14), (13, 19), (8, 18), (8, 11), (18, 19), (18, 14), (14, 10), (2, 17), (1, 11), (1, 10), (7, 10)]"
20,11,17,"[(12, 16), (12, 5), (12, 11), (16, 7), (16, 4), (14, 19), (14, 11), (14, 7), (19, 9), (19, 13), (8, 18), (8, 0), (8, 4), (18, 2), (18, 15), (0, 1), (0, 6), (11, 17), (17, 1), (17, 3), (10, 15), (10, 7), (10, 6), (15, 2), (4, 13), (6, 9), (9, 13), (5, 1), (5, 3), (3, 2)]"
22,12,23,"[(12, 13), (12, 15), (12, 9), (13, 17), (13, 18), (3, 10), (3, 11), (3, 14), (10, 0), (10, 16), (5, 19), (5, 2), (5, 6), (19, 8), (19, 1), (2, 4), (2, 18), (0, 17), (0, 20), (17, 8), (11, 20), (11, 4), (20, 6), (1, 21), (1, 14), (21, 16), (21, 9), (6, 9), (4, 14), (15, 16), (15, 7), (8, 7), (7, 18)]"
22,10,22,"[(3, 4), (3, 17), (3, 2), (4, 20), (4, 1), (5, 7), (5, 12), (5, 20), (7, 16), (7, 1), (14, 19), (14, 13), (14, 6), (19, 20), (19, 13), (8, 18), (8, 21), (8, 2), (18, 9), (18, 11), (21, 10), (21, 0), (1, 9), (9, 10), (0, 17), (0, 12), (17, 6), (2, 12), (10, 6), (13, 15), (16, 11), (16, 15), (11, 15)]"
20,10,23,"[(6, 18), (6, 11), (6, 10), (18, 19), (18, 15), (3, 7), (3, 10), (3, 12), (7, 1), (7, 8), (10, 12), (14, 16), (14, 11), (14, 17), (16, 5), (16, 13), (0, 2), (0, 4), (0, 19), (2, 17), (2, 1), (5, 19), (5, 15), (9, 17), (9, 13), (9, 12), (8, 15), (8, 11), (1, 4), (13, 4)]"
